,hostname,hostredshift,reporting_groups,data_sources,classifying_groups,associated_groups,ZTFID,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,hostabs,hostcol,A_V,IAUID,Confidence,p_SNII,p_SNIa,p_SNIbc,redshift,RA_deg,Dec_deg,subtype,type,type_code,b
1928,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF20aanvliy,898.94,g,18.6723,-19.24,>24.245,8.175,>16.07,-21.51,1.02,0.091,SN2020cpf,,,,,0.083,208.56575,1.8292527777777776,SNIa,Ia,0,60.56067528328929
1932,,,"ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF20aanvqhk,905.04,r,18.7849,-19.08,>22.723,12.723,>10,-21.51,1.10,0.12,SN2020cpq,,,,,0.08164,244.81329166666663,15.1195,SNIa,Ia,0,40.42449289773865
1929,CGCG 076-111,0.036962,"ALeRCE, ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF, ePESSTO+",ATLAS; Pan-STARRS; ZTF,ZTF20aanvpzo,904.02,g,17.2339,-18.91,24.565,9.253,15.312,-22.57,1.13,0.099,SN2020cpt,,,,,0.03705,224.37602916666663,8.390005555555556,SNIa,Ia,0,54.7973466940802
1930,SDSS J145430.69+094226.1,0.032906,"ALeRCE, ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","None, ZTF",ATLAS; Pan-STARRS; ZTF,ZTF20aanvqbi,911.98,r,18.0435,-17.78,39.248,14.265,24.983,-20.85,0.36,0.08,SN2020cpu,,,,,0.03276,223.6293,9.707155555555556,SNII,II,2,56.16452016095897
1926,SDSS J130229.44+281216.0,0.081,"ALeRCE, ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF20aansktb,906.85,g,18.7094,-19.53,34.816,8.72,26.096,-20.19,0.52,0.023,SN2020cpv,,,,,0.1,195.6227625,28.20434722222222,SNIa,Ia,0,87.32662594909854
6770,,,,,,,ZTF20aamknna,900.03,g,18.8254,-19.13,>26.42,10.44,>15.98,-21.21,0.97,0.268,SN2020cqp,,,,,0.077,218.08779166666665,-3.6703055555555553,SNIa,Ia,0,50.737695845065645
1916,WISEA J164142.05+683048.3,0.025794,"SGLF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","None, ZTF",ATLAS; GaiaAlerts; ZTF,ZTF20aaodkvl,906.03,g,16.4166,-18.94,18.408,7.576,10.832,-21.12,1.24,0.089,SN2020csx,,,,,0.026,250.4210833333333,68.51551944444445,SNIa,Ia,0,36.80845141636073
1921,,,ZTF,ZTF,ZTF,ZTF,ZTF20aanbfbf,,,,,,,,,,,SN2020ctl,,,,,0.065,44.665170833333335,40.88468888888889,SNIa,Ia,0,-15.864381414422589
1923,,,"ZTF, GaiaAlerts","ZTF, GaiaAlerts",ZTF,GaiaAlerts; ZTF,ZTF20aanbvqg,,,,,,,,,,,SN2020ctm,,,,,0.045,80.19520833333333,-9.022438888888887,SNIa,Ia,0,-24.217678978074336
1924,,,ZTF,ZTF,UCSC,ZTF,ZTF19aaklqod,903.8,g,16.8355,-18.82,>15.702,6.752,>8.95,-21.19,1.12,0.08,SN2020ctr,,,,,0.03,134.65673333333334,20.19183611111111,SNIa,Ia,0,36.69227462859197
1888,,,"ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF20aamifit,895.03,r,17.5081,-19.67,30.574,10.322,20.252,-21.91,0.89,0.109,SN2020cue,,,,,0.06,275.7066666666667,47.83198055555556,SNIa,Ia,0,24.353084723054124
1894,,,"SGLF, ZTF, MASTER, Pan-STARRS, GaiaAlerts, ATLAS","ZTF, MASTER, Pan-STARRS, GaiaAlerts, ATLAS","SGLF, ePESSTO+",ATLAS; GaiaAlerts; MASTER; Pan-STARRS; ZTF,ZTF20aammbvq,,,,,,,,,,,SN2020cui,,,,,0.025,170.581875,-7.579761111111111,SNIIn,II,2,49.13159131130218
1898,,,"ZTF, GaiaAlerts","ZTF, GaiaAlerts",ZTF,GaiaAlerts; ZTF,ZTF20aaoffej,,,,,,,,,,,SN2020cuj,,,,,0.0158,68.50220833333333,-8.57873888888889,SNII,II,2,-34.37903341539982
1934,,,"ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF20aanyxvu,912.68,r,17.6943,-18.66,34.981,10.093,24.888,-21.34,0.92,0.198,SN2020cvn,,,,,0.04,108.405,42.78118055555556,SNIa,Ia,0,21.890148720731204
1937,,,"ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","SCAT, ZTF",ATLAS; GaiaAlerts; ZTF,ZTF20aaomtwl,,,,,,,,,,,SN2020cvo,,,,,0.03,108.91970833333332,30.769419444444445,SNIa,Ia,0,18.300894042794226
1938,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF20aannodx,906.77,g,18.8103,-19.26,47.925,16.511,31.414,-15.03,0.15,0.079,SN2020cvt,,,,,0.09,115.17192916666669,72.97559444444444,SNIa,Ia,0,29.443646539870457
1939,,,"ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF20aaoojli,912.67,g,17.7603,-19.14,28.961,10.132,18.829,-20.65,0.81,0.14,SN2020cvw,,,,,0.051066,119.48295833333331,30.02693888888889,SNIa,Ia,0,26.654878307124285
1940,,,"ZTF, GaiaAlerts, Pan-STARRS, ATLAS","ZTF, GaiaAlerts, Pan-STARRS, ATLAS","ZTF, ePESSTO+",ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF20aaophpu,900.69,r,18.4069,-16.01,64.055,2.81,61.245,-20.80,0.66,0.112,SN2020cvy,,,,,0.017,120.20525,27.49858888888889,SNII,II,2,26.48102229403048
1947,,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ePESSTO+,ATLAS; Pan-STARRS; ZTF,ZTF20aansmsj,903.86,g,18.9217,-19.57,>20.135,9.015,>11.12,-19.96,0.57,0.055,SN2020cww,,,,,0.11,198.56186666666667,19.94430833333333,SNIa,Ia,0,81.11849562077934
1951,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF20aanvsds,906.03,g,18.5143,-19.12,30.867,7.548,23.319,-20.86,0.88,0.049,SN2020cxa,,,,,0.075,258.32037916666667,54.82769722222223,SNIa,Ia,0,35.84888009038461
1950,,,"ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF20aapchqy,999.83,r,17.099,-14.10,123.937,101.073,22.864,-,-,0.11,SN2020cxd,,,,,0.003883,261.62191666666666,71.09405,SNII,II,2,32.40104562325101
