hostname,hostredshift,reporting_groups,data_sources,classifying_groups,associated_groups,ZTFID,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,hostabs,hostcol,b,A_V,IAUID,Confidence,p_SNII,p_SNIa,p_SNIbc,redshift,RA_deg,Dec_deg,subtype,type,type_code
,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18aaxnkos,,,,,,,,,,,,SN2018chf,,,,,0.0628,156.52724166666667,47.27428611111111,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18aaxqyki,284.75,g,18.7798,-19.49,25.508,8.25,17.258,-16.13,1.07,48.71900633,0.049,SN2018cnz,,,,,0.1,232.57617916666666,57.6585,SNIa,Ia,0
,,"ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF18aaxtcdm,,,,,,,,,,,,SN2018cog,,,,,0.075,231.54975000000002,6.357180555555555,SNIa,Ia,0
,,"ZTF, GaiaAlerts, ATLAS","ZTF, GaiaAlerts, ATLAS",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF18aaxxewy,,,,,,,,,,,,SN2018cnx,,,,,0.082,216.18920833333334,5.839819444444444,SNIa,Ia,0
,,"ZTF, Pan-STARRS, GaiaAlerts","ZTF, Pan-STARRS, GaiaAlerts",ZTF,GaiaAlerts; Pan-STARRS; ZTF,ZTF18aaxxfgs,,,,,,,,,,,,SN2018civ,,,,,0.026,232.8085,16.892699999999998,SNIIn,II,2
,,"ZTF, Pan-STARRS, GaiaAlerts, ATLAS","ZTF, Pan-STARRS, GaiaAlerts, ATLAS",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF18aaxjuwy,,,,,,,,,,,,SN2018cih,,,,,0.0828,188.12225,4.8889499999999995,SNIIn,II,2
,,"ZTF, GaiaAlerts","ZTF, GaiaAlerts",ZTF,GaiaAlerts; ZTF,ZTF18aaygwqd,,,,,,,,,,,,SN2018cim,,,,,0.035,239.41379166666667,78.61223055555556,SNIb,Ib/c,1
,,ZTF,ZTF,ZTF,ZTF,ZTF18aayiahw,291.74,r,18.8326,-18.41,>26.155,11.225,>14.93,-22.13,1.11,74.95839796,0.037,SN2018cts,,,,,0.06368,209.80834583333333,28.54076666666667,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18aayivxm,,,,,,,,,,,,SN2018ctq,,,,,0.1,183.44963333333334,40.715652777777784,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18aayivoq,,,,,,,,,,,,SN2018coj,,,,,0.0792,180.47857083333332,36.89519722222222,SNIa,Ia,0
,,"ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ZTF, ATLAS, Pan-STARRS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF18aayjvve,294.77,r,17.5905,-19.00,28.566,12.029,16.537,-21.65,1.26,60.53488488,0.04,SN2018cny,,,,,0.04727,226.06916666666666,35.81503055555555,SNIa,Ia,0
