hostname,hostredshift,reporting_groups,data_sources,classifying_groups,associated_groups,ZTFID,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,hostabs,hostcol,b,A_V,IAUID,Confidence,p_SNII,p_SNIa,p_SNIbc,redshift,RA_deg,Dec_deg,subtype,type,type_code
,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF21aarhnwn,1321.77,r,17.9866,-18.73,27.473,19.657,7.816,-19.73,0.83,53.52721203,0.093,SN2021hup,,,,,0.049,178.52486666666667,-6.601555555555556,SNIa,Ia,0
SDSS J134331.10+093717.1,0.06973109,"ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF21aarhzdh,1319.91,g,18.1037,-19.40,21.926,10.546,11.38,-20.72,0.76,68.61290142,0.073,SN2021iai,,,,,0.06975,205.87809583333333,9.623408333333334,SNIa,Ia,0
SDSS J083156.82-040754.7,,"ALeRCE, YSE","ZTF, Pan-STARRS",YSE,Pan-STARRS; ZTF,ZTF21aasmyau,,,,,,,,,,,,SN2021ihp,0.84,0.84,0.055,0.105,0.039,127.98594583333335,-4.133811111111111,SNII,II,2
,,"SGLF, ATLAS","ZTF, ATLAS",ePESSTO+,ATLAS; SGLF; ZTF,ZTF21aarlqgt,,,,,,,,,,,,SN2021iex,,,,,0.067,134.66387083333333,12.314288888888889,SNII,II,2
,,"ZTF, ATLAS, Fink","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF21aarmkuj,1316.71,g,17.7867,-19.40,27.537,7.535,20.002,-16.94,0.06,33.14541764,0.147,SN2021ibo,,,,,0.058,136.10899583333332,8.012786111111112,SNIa,Ia,0
WISEA J102742.30+724938.2,,"ALeRCE, ATLAS, YSE, Pan-STARRS, GaiaAlerts","ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ZTF, UCSC",ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF21aarnjyd,1339.78,r,17.5446,-17.59,33.004,19.068,13.936,-19.75,0.53,40.4225989,0.296,SN2021hrj,,,,,0.022,156.92370833333334,72.82693888888889,SNIb,Ib/c,1
SDSS J102318.59-002545.4,0.09488674,"ALeRCE, ATLAS, YSE","ZTF, ATLAS, Pan-STARRS",YSE,ATLAS; Pan-STARRS; ZTF,ZTF21aasgrpw,,,,,,,,,,,,SN2021idh,1.0,0.0,1.0,0.0,0.095,155.82769166666665,0.4294305555555556,SNIa,Ia,0
,,"SGLF, ATLAS, Fink, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; SGLF; ZTF,ZTF21aarskup,1316.89,g,18.8908,-19.51,27.823,8.958,18.865,-,-,22.34704883,0.16,SN2021iie,,,,,0.1,288.5428791666667,65.89240833333334,SNIa,Ia,0
WISEA J180742.02+404959.0,,"ALeRCE, ATLAS, Fink, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF21aasctwo,1317.96,g,18.5285,-18.90,27.041,7.228,19.813,-21.44,1.29,25.20743026,0.116,SN2021idy,,,,,0.066,271.92378333333335,40.83310277777778,SNIa,Ia,0
WISEA J092736.91+042710.3,0.046169,"ALeRCE, Fink, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF21aartgiv,1322.74,r,17.8984,-18.71,18.054,12.1,5.954,-19.33,0.47,36.4636958,0.125,SN2021hyz,,,,,0.0461,141.90210833333333,4.45305,SNIc-BL,Ib/c,1
SDSS J105407.16+453644.7,0.08449315,"ALeRCE, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF21aarwlht,1320.68,g,18.3198,-19.56,25.296,10.13,15.166,-21.52,1.06,60.29682879,0.036,SN2021hyt,,,,,0.08449,163.52833333333334,45.61203888888889,SNIa,Ia,0
WISEA J122738.11+015506.9,0.07823,"ALeRCE, YSE, Pan-STARRS","ZTF, Pan-STARRS",YSE,Pan-STARRS; ZTF,ZTF21aarytbc,,,,,,,,,,,,SN2021hxv,0.996,0.996,0.002,0.002,0.078,186.90925416666667,1.917947222222222,SNII,II,2
WISEA J113840.35+414528.3,0.088993,"ALeRCE, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF21aarxsfm,1317.74,g,18.8815,-19.15,26.748,8.773,17.975,-21.66,0.80,69.13076048,0.064,SN2021hyg,,,,,0.088993,174.668275,41.758316666666666,SNIa,Ia,0
WISEA J120040.09+515026.9,,"ALeRCE, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF21aarohyu,1315.72,g,18.4802,-18.77,25.623,5.623,20,-18.56,0.75,63.50583312,0.045,SN2021hzo,,,,,0.063,180.16706250000001,51.840922222222225,SNIa,Ia,0
WISEA J121842.17+535950.1,0.088724,"ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF21aarojxa,1321.79,r,18.8499,-19.14,25.853,11.913,13.94,-22.96,1.04,62.46231513,0.051,SN2021hzn,,,,,0.088724,184.67688750000002,53.99859722222222,SNIa,Ia,0
MGC 35740,,"ALeRCE, ATLAS, Fink, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF21aarybxo,1317.77,g,18.8771,-19.39,26.589,8.983,17.606,-19.72,0.53,63.00267668,0.047,SN2021hyd,,,,,0.1,189.82940416666668,0.28846944444444444,SNIa,Ia,0
,,"ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF21aarrplo,1323.79,g,17.3451,-19.20,25.512,10.512,15,-20.13,0.51,60.19462915,0.029,SN2021huu,,,,,0.046248,178.61120833333334,55.07398055555556,SNIa,Ia,0
SDSS J122558.81+071407.0,,"ALeRCE, YSE","ZTF, Pan-STARRS",UCSC,Pan-STARRS; ZTF,ZTF19aagthvg,,,,,,,,,,,,SN2021ita,0.731,0.045,0.731,0.224,0.154,186.495175,7.235433333333334,SNIa,Ia,0
WISEA J142308.04+501316.9,0.026901,"ALeRCE, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",SCAT,ATLAS; GaiaAlerts; ZTF,ZTF18aaszvfn,1313.77,g,18.56,-16.83,39.151,7.057,32.094,-20.98,1.01,61.0334758,0.055,SN2021iaw,,,,,0.026901,215.78283333333331,50.22086111111111,SNIIP,II,2
SDSS J150310.86+080719.2,0.09224381,"ALeRCE, ATLAS","ZTF, ATLAS",SCAT,ATLAS; ZTF,ZTF20abvdtgl,1309.88,r,18.766,-19.34,17.325,7.761,9.564,-22.64,1.09,53.50208053,0.089,SN2021ias,,,,,0.092,225.79550833333334,8.12213611111111,SNIa,Ia,0
,,"ZTF, Pan-STARRS","ZTF, Pan-STARRS",ZTF,Pan-STARRS; ZTF,ZTF21aarrwdu,1315.88,r,18.9432,-16.94,>22.398,13.498,>8.9,-22.37,1.17,51.74776421,0.136,SN2021hva,,,,,0.033,226.25318333333334,5.793661111111111,SNIa,Ia,0
SDSS J151926.35+232347.9,0.08748219,"ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF21aasaxdk,1317.79,g,18.7991,-19.31,21.414,7.75,13.664,-21.94,0.97,56.44896031,0.157,SN2021hwx,,,,,0.0875,229.860875,23.397630555555555,SNIa,Ia,0
,,"ALeRCE, ATLAS, GaiaAlerts, AMPEL","ZTF, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF21aarigsr,1321.88,g,17.3857,-19.85,27.258,10.253,17.005,-15.38,0.42,58.91851758,0.154,SN2021iaf,,,,,0.059,227.84383333333332,26.792261111111113,SNIa,Ia,0
UGC 09770,0.069972,"ALeRCE, ATLAS","ZTF, ATLAS",SIRAH,ATLAS; ZTF,ZTF21aasaxfg,1321.9,r,18.7869,-18.75,29.018,12.067,16.951,-23.31,1.11,58.18134322,0.142,SN2021ihz,,,,,0.06976,228.36384166666667,25.206663888888887,SNIa,Ia,0
SDSS J150541.58+315939.3,,"ALeRCE, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF21aasbkrl,1323.8,g,18.9666,-19.08,21.823,11.252,10.571,-18.54,0.58,60.52265966,0.054,SN2021hwp,,,,,0.09,226.42318333333333,31.993694444444447,SNIa,Ia,0
SDSS J140935.15+110914.4,,"ALeRCE, ATLAS, Fink, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF21aasbjgq,1321.86,g,18.2495,-19.55,28.925,11.997,16.928,-19.69,0.76,65.65835957,0.064,SN2021hwq,,,,,0.08,212.39735833333333,11.153097222222222,SNIa,Ia,0
LEDA 1019808,,"ALeRCE, ATLAS, Fink, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ePESSTO+,ATLAS; Pan-STARRS; ZTF,ZTF21aasbxng,1315.85,r,17.9845,-18.37,29.34,6.358,22.982,-20.12,0.55,49.48515811,0.13,SN2021hwk,,,,,0.041,214.76132083333334,-7.390586111111111,SNIa,Ia,0
,,"Fink, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ePESSTO+, ZTF",ATLAS; Pan-STARRS; ZTF,ZTF21aassamj,1322.96,r,18.0875,-19.19,25.382,10.015,15.367,-22.53,1.22,24.60883111,0.409,SN2021ify,,,,,0.056,261.72372083333335,13.178866666666666,SNIa,Ia,0
SDSS J171557.69+664127.3,,"ALeRCE, ATLAS, AMPEL","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF20abtcijp,1317.97,g,18.1945,-19.35,23.523,9.168,14.355,-20.86,0.94,34.14381089,0.104,SN2021iat,,,,,0.07,258.9904333333333,66.6909,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS",SCAT,ATLAS; ZTF,ZTF21aascwrr,1317.95,r,18.6502,-19.36,33.142,19.218,13.924,-21.44,0.92,18.64654484,0.156,SN2021iio,,,,,0.086,286.2489875,50.73401388888889,SNIa,Ia,0
,,ALeRCE,ZTF,ZTF,ZTF,ZTF21aaskwgm,1322.93,g,17.7297,-18.96,24.179,8.906,15.273,-21.39,0.72,17.81179886,0.239,SN2021ihr,,,,,0.044,278.12221250000005,32.31756388888889,SNIa,Ia,0
SDSS J075519.30+410838.0,,"ALeRCE, Fink, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF21aasgffc,1323.68,g,17.7369,-19.83,24.396,9.618,14.778,-18.38,0.56,28.97554431,0.116,SN2021ikn,,,,,0.07,118.83116666666668,41.14455,SNIa,Ia,0
,,"ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",TCD,ATLAS; GaiaAlerts; ZTF,ZTF21aasfseg,1316.72,g,18.0051,-18.51,19.97,7.994,11.976,-21.67,0.95,38.80097011,0.093,SN2021ibn,,,,,0.044,132.55866666666668,37.02696944444445,SNII,II,2
SDSS J171356.98+390555.5,,"ALeRCE, ATLAS, Fink","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF21aaswvyc,1324.89,g,18.355,-19.22,22.193,10.141,12.052,-17.91,0.55,34.93116434,0.125,SN2021ijy,,,,,0.07,258.48730416666666,39.098797222222224,SNIa,Ia,0
,,"ALeRCE, ATLAS, Fink","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF21aaskyvp,1320.99,r,18.5613,-19.98,23.2,11.31,11.89,-19.01,0.68,10.66273756,0.396,SN2021icu,,,,,0.1,301.14543749999996,51.72833333333333,SNIa,Ia,0
SDSS J150927.67+364901.8,,"ALeRCE, ATLAS, GaiaAlerts, AMPEL, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF21aatdzmt,1323.8,g,18.0703,-19.60,25.533,8.471,17.062,-19.30,0.63,59.36027945,0.051,SN2021imq,,,,,0.076,227.36529166666668,36.81748055555556,SNIa,Ia,0
6dF J1137507-071341,0.055735,"SGLF, Pan-STARRS, Fink","ZTF, Pan-STARRS","ePESSTO+, ZTF",Pan-STARRS; SGLF; ZTF,ZTF21aasuazz,1323.73,r,18.272,-18.71,19.733,11.236,8.497,-22.26,1.33,51.29799944,0.078,SN2021ipf,,,,,0.055735,174.46072916666668,-7.228375,SNIa,Ia,0
SDSS J111103.28+550751.2,,"ALeRCE, ATLAS, AMPEL, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF21aasyzkt,1328.82,g,18.3904,-18.80,24.072,12.256,11.816,-18.37,0.53,56.60517183,0.029,SN2021iqt,,,,,0.062,167.76396666666668,55.13081666666667,SNIa,Ia,0
WISEA J095516.19+253431.7,0.0441,"ALeRCE, ATLAS, Fink, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF21aasufxv,1321.72,r,18.2855,-18.21,21.152,10.906,10.246,-22.29,1.20,50.7070294,0.093,SN2021ikf,,,,,0.04434,148.81754166666667,25.576430555555554,SNIa,Ia,0
,,"Fink, ATLAS, Pan-STARRS, AMPEL, MASTER","ZTF, ATLAS, Pan-STARRS, MASTER",ZTF,ATLAS; MASTER; Pan-STARRS; ZTF,ZTF21aatlesr,1328.83,g,16.5056,-19.67,23.99,10.598,13.392,-13.87,0.96,43.68339684,0.132,SN2021ipb,,,,,0.036912,240.88748333333334,14.55225277777778,SNIa,Ia,0
GALEXASC J180729.40+245725.0,,"ALeRCE, Fink",ZTF,ZTF,ZTF,ZTF21aatsafx,1328.91,r,18.3768,-18.92,21.253,12.036,9.217,-,-,20.25300837,0.297,SN2021ish,,,,,0.059,271.87343333333337,24.95692777777778,SNIa,Ia,0
2MASX J11392270+4207051,,"ALeRCE, ATLAS, Fink, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF21aasyydo,1325.76,r,18.3286,-18.86,24.229,11.211,13.018,-21.60,1.11,69.00454386,0.082,SN2021ini,,,,,0.061012,174.845125,42.11858888888889,SNIa,Ia,0
,,"ALeRCE, ATLAS, YSE","ZTF, ATLAS, Pan-STARRS",UCSC,ATLAS; Pan-STARRS; ZTF,ZTF21aasuego,,,,,,,,,,,,SN2021inl,0.889,0.017,0.889,0.094,0.02,195.38852083333336,27.831977777777777,SNIb-pec,Ib/c,1
WISEA J134821.31+281603.9,0.077701,"ALeRCE, ATLAS, YSE, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",adH0cc,ATLAS; Pan-STARRS; ZTF,ZTF21aatabgn,,,,,,,,,,,,SN2021inc,0.987,0.987,0.008,0.005,0.0777,207.08833333333334,28.268633333333334,SNII,II,2
2MASX J14445106+4319016,0.080143,"ALeRCE, YSE, ATLAS, Fink, GaiaAlerts","ZTF, Pan-STARRS, ATLAS, GaiaAlerts",UCSC,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF18aatjfoe,1325.87,g,18.2505,-19.55,24.844,9.862,14.982,-22.00,0.87,61.96610198,0.046,SN2021itd,,,,,0.081,221.21283333333332,43.316769444444446,SNIa,Ia,0
UGC 10184,0.041,"ALeRCE, Pan-STARRS, Fink, ATLAS","ZTF, Pan-STARRS, ATLAS",ePESSTO+,ATLAS; Pan-STARRS; ZTF,ZTF21aaswtok,1325.96,r,17.4698,-19.00,23.664,10.734,12.93,-22.51,1.19,37.78480797,0.27,SN2021inj,,,,,0.041,241.41253333333333,3.0719361111111114,SNIa,Ia,0
,,"ALeRCE, ATLAS, AMPEL, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",TCD,ATLAS; Pan-STARRS; ZTF,ZTF21aatgisc,1334.91,r,18.9396,-17.57,52.714,20.975,31.739,-18.57,1.85,17.5958974,0.251,SN2021imh,,,,,0.042,282.86408750000004,41.53494722222222,SNII,II,2
SDSS J103343.31+115326.3,0.101767,"SGLF, ATLAS, Fink, GaiaAlerts, AMPEL","ZTF, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; SGLF; ZTF,ZTF21aatwlhj,1323.76,g,18.7873,-19.54,26.245,7.47,18.775,-22.47,0.84,54.31812679,0.094,SN2021iwz,,,,,0.1,158.42825000000002,11.890530555555555,SNIa,Ia,0
WISEA J192923.19+740441.6,,"ALeRCE, Fink, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF21aatlbsi,1322.97,r,18.5563,-19.16,24.714,8.923,15.791,-21.89,1.41,23.46880106,0.354,SN2021ipy,,,,,0.07,292.34714583333334,74.07814444444445,SNIa,Ia,0
,,"ZTF, Pan-STARRS","ZTF, Pan-STARRS",ZTF,Pan-STARRS; ZTF,ZTF21aasksnl,,,,,,,,,,,,SN2021mju,,,,,0.028,250.44830416666665,19.364919444444446,SNII,II,2
,,"SGLF, ATLAS, GaiaAlerts, Fink, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; SGLF; ZTF,ZTF21aaufthj,1328.69,g,18.1122,-18.87,25.073,9.285,15.788,-18.76,0.61,49.92661119,0.11,SN2021jtk,,,,,0.054,151.80570833333334,14.77303888888889,SNIa,Ia,0
LEDA  999713,,"ALeRCE, ATLAS, GaiaAlerts, Fink, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF21aaufvpg,1328.69,g,17.0359,-18.66,25.583,7.895,17.688,-18.70,0.69,44.37275064,0.108,SN2021jap,,,,,0.03,163.76654166666665,-8.745838888888889,SNIa,Ia,0
SDSS J122851.11+191951.4,,"ALeRCE, YSE","ZTF, Pan-STARRS",YSE,Pan-STARRS; ZTF,ZTF21aavcrdz,,,,,,,,,,,,SN2021jox,0.998,0.0,0.998,0.002,0.17,187.211175,19.331091666666666,SNIa,Ia,0
WISEA J115721.52-201404.1,,"ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ePESSTO+,ATLAS; Pan-STARRS; ZTF,ZTF21aatpsky,1321.77,r,18.0839,-17.66,22.965,9.294,13.671,-17.80,0.19,40.8614764,0.13,SN2021iso,,,,,0.031,179.33941666666664,-20.23293333333333,SNII,II,2
WISEA J142328.71+515506.6,0.06689,"ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",SCAT,ATLAS; Pan-STARRS; ZTF,ZTF21aatklhw,1325.81,r,18.6714,-18.68,16.868,8.535,8.333,-20.93,1.11,59.78955372,0.031,SN2021isv,,,,,0.06689,215.86883749999998,51.91773333333333,SNIa,Ia,0
SDSS J155053.32+615843.8,,"SGLF, ATLAS, Fink, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",SIRAH,ATLAS; Pan-STARRS; SGLF; ZTF,ZTF21aaujakt,,,,,,,,,,,,SN2021jac,,,,,0.0818,237.71682083333334,61.981052777777776,SNIa,Ia,0
WISEA J175807.64+633930.4,,"ALeRCE, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF21aauamtx,1329.89,g,18.5483,-19.54,31.736,11.773,19.963,-20.25,0.76,29.97906905,0.095,SN2021jpv,,,,,0.09,269.5303041666666,63.65819722222222,SNIa,Ia,0
WISEA J200537.50+000952.3,,"ALeRCE, ATLAS, Fink, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF21aauzzny,1323.98,g,18.5988,-19.39,24.244,7.063,17.181,-21.79,1.05,-16.3652556,0.419,SN2021jji,,,,,0.072,301.4053875,0.1646638888888889,SNIa,Ia,0
GALEXASC J082812.61+465010.3,,"ALeRCE, ATLAS, AMPEL, Fink, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",SCAT,ATLAS; GaiaAlerts; ZTF,ZTF21aatvcdl,1325.72,g,17.7644,-19.03,20.831,6.876,13.955,-19.27,1.00,35.59873094,0.095,SN2021iyb,,,,,0.05,127.05279166666668,46.83636944444444,SNIa,Ia,0
,,"SGLF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",ePESSTO+,ATLAS; GaiaAlerts; SGLF; ZTF,ZTF21aatvqcl,1328.68,r,18.8327,-16.73,>42.034,13.964,>28.07,-15.64,0.05,42.4520076,0.091,SN2021jlr,,,,,0.029,139.34908333333334,25.804869444444446,SNII,II,2
WISEA J153007.52-003359.4,0.077222,"ALeRCE, YSE, Pan-STARRS","ZTF, Pan-STARRS",YSE,Pan-STARRS; ZTF,ZTF21aauajgk,,,,,,,,,,,,SN2021jkd,1.0,0.0,1.0,0.0,0.077,232.53185,0.5652694444444445,SNIa,Ia,0
SDSS J173025.16+370032.0,,"ALeRCE, ATLAS, AMPEL, Fink, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF21aaublej,1328.86,g,17.0236,-19.36,23.353,8.227,15.126,-21.71,0.86,31.36708713,0.111,SN2021ixf,,,,,0.041,262.604875,37.01091111111111,SNIa,Ia,0
SDSS J102053.36+060922.2,0.02845307,"ALeRCE, ATLAS, GaiaAlerts, Fink, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS",SCAT,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF21aaufwyh,1338.71,r,17.7581,-17.71,27.104,17.088,10.016,-20.63,0.83,48.55550728,0.063,SN2021jao,,,,,0.028,155.22045833333334,6.156700000000001,SNIb,Ib/c,1
NGC 4108,0.008382,"ALeRCE, ATLAS, AMPEL, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","Global SN Project, ZTF",ATLAS; Pan-STARRS; ZTF,ZTF21aatyplr,1329.75,r,16.5799,-16.24,19.748,8.647,11.101,-,-,49.38393144,0.049,SN2021jag,,,,,0.008382,181.68734999999998,67.16494444444444,SNIa,Ia,0
LEDA 2744428,,"ALeRCE, ATLAS, Fink, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF21aaukcog,1334.87,r,18.0969,-18.17,34.139,10.096,24.043,-20.79,0.74,39.37571522,0.086,SN2021jaj,,,,,0.04,236.95625,71.60265,SNII,II,2
WISEA J183542.59+510715.3,,"ALeRCE, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF21aaunadg,1334.97,g,16.9401,-17.88,23.018,12.47,10.548,-17.34,0.44,23.1593263,0.115,SN2021jai,,,,,0.02,278.927125,51.12216111111111,SNIa,Ia,0
WISEA J082329.75+022119.9,,"ALeRCE, ATLAS, Fink","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF21aavodtn,,,,,,,,,,,,SN2021jup,,,,,0.1,125.87247083333332,2.355322222222222,SNIa,Ia,0
WISEA J054835.44+511921.4,,"ALeRCE, GaiaAlerts, ATLAS","ZTF, GaiaAlerts, ATLAS",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF21aaupkow,,,,,,,,,,,,SN2021jjx,,,,,0.04,87.14633333333333,51.322588888888895,SNIa,Ia,0
WISEA J080227.16+702723.8,,"ALeRCE, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF21aaugbus,1329.72,r,17.4016,-18.23,20.552,9.854,10.698,-20.21,1.02,31.36561036,0.081,SN2021jka,,,,,0.03,120.61320833333332,70.45691944444445,SNIa,Ia,0
KUG 1131+320,0.063974,"ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",adH0cc,ATLAS; Pan-STARRS; ZTF,ZTF21aavrvuj,,,,,,,,,,,,SN2021jwd,,,,,0.064,173.5486375,31.82378611111111,SNII,II,2
,,"SGLF, YSE","ZTF, Pan-STARRS",YSE,Pan-STARRS; SGLF; ZTF,ZTF21aawbbid,,,,,,,,,,,,SN2021kfy,0.997,0.002,0.997,0.001,0.15,196.519225,23.8011,SNIa,Ia,0
,,"ALeRCE, ATLAS, Fink, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF21aavsbkt,1334.87,r,18.595,-19.65,30.312,10.386,19.926,-22.00,1.04,43.47619554,0.057,SN2021jvy,,,,,0.099195,229.74039166666668,68.16452777777778,SNIa,Ia,0
WISEA J144525.39+163510.4,0.037177,"ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",adH0cc,ATLAS; Pan-STARRS; ZTF,ZTF21aavdukh,,,,,,,,,,,,SN2021jom,,,,,0.0372,221.35534583333333,16.586844444444445,SNII,II,2
WISEA J143900.45+124018.5,0.037978,"ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",adH0cc,ATLAS; Pan-STARRS; ZTF,ZTF21aauvmck,1323.8,g,18.5786,-17.57,>12.431,6.391,>6.04,-20.99,0.53,60.97848754,0.056,SN2021jpk,,,,,0.038,219.7501125,12.669452777777778,SNIbn,Ib/c,1
SDSS J125950.57+224325.2,,"ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ePESSTO+,ATLAS; Pan-STARRS; ZTF,ZTF21aavozbk,1335.81,r,18.3356,-19.21,24.824,13.815,11.009,-20.04,0.58,85.20076722,0.069,SN2021kax,,,,,0.072,194.9607,22.723291666666665,SNIa,Ia,0
,,"ALeRCE, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF21aavheiv,1334.87,r,18.0112,-18.85,38.079,10.904,27.175,-15.96,0.16,41.65632631,0.058,SN2021kcu,,,,,0.053,231.1076666666667,70.3279111111111,SNIa,Ia,0
WISEA J153534.43+052335.0,0.03839,"ALeRCE, Pan-STARRS, ATLAS, Fink","ZTF, Pan-STARRS, ATLAS",ePESSTO+,ATLAS; Pan-STARRS; ZTF,ZTF21aavhlry,1334.74,g,17.3405,-18.95,22.215,11.108,11.107,-20.75,0.67,45.33450812,0.172,SN2021jwl,,,,,0.038,233.8927625,5.392227777777778,SNIa,Ia,0
,,"ZTF, Pan-STARRS, AMPEL, ATLAS","ZTF, Pan-STARRS, ATLAS","SCAT, ZTF",ATLAS; Pan-STARRS; ZTF,ZTF21aavhnpk,1329.95,r,18.3233,-17.37,51.527,24.394,27.133,-18.98,0.62,-25.60607152,0.295,SN2021jsf,,,,,0.0285,312.58931249999995,1.1415861111111112,SNII,II,2
WISEA J195954.11+122307.5,,"ALeRCE, Fink",ZTF,ZTF,ZTF,ZTF21aavhsdw,1324.98,g,18.5401,-19.28,22.336,9.361,12.975,-22.49,1.33,-9.09193047,0.583,SN2021jwk,,,,,0.061,299.97479166666665,12.385399999999999,SNIa,Ia,0
