
ZTFID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,hostabs,hostcol,b,A_V
ZTF21aaphpor,AT2021fza,10:33:42.32,+40:49:37.8,1301.82,r,18.8005,-,26.016,11.011,15.005,-,-,-,-,58.60086917,0.038
ZTF21aapiwls,AT2021has,13:20:20.58,-05:05:28.3,1290.86,r,18.7563,-,30.285,8.129,22.156,-,-,-,-,57.03155954,0.127
ZTF21aapjjtl,-,14:01:11.73,+40:01:10.0,1296.89,r,18.9764,-,23.541,12.59,10.951,-,-,-,-,70.64222351,0.061
ZTF21aapjksm,AT2021fxw,14:33:16.23,+56:27:21.6,1300.88,g,18.6303,-,23.213,10.541,12.672,-,-,-,-,55.49544165,0.058
ZTF21aapjlyx,AT2021gfl,13:05:22.50,+33:12:55.8,1304.82,r,18.982,-,27.358,13.934,13.424,-,-,-,-,83.20973556,0.03
ZTF21aapjyuo,-,15:42:59.10,+52:50:59.4,1290.93,g,18.992,-,28.294,8.496,19.798,-,-,-,-,49.22238295,0.027
ZTF21aapkisz,AT2021fpb,14:12:05.75,-07:45:02.0,1292.94,g,18.7223,-,26.947,11.319,15.628,-,-,-,-,50.02379855,0.106
ZTF21aapkzug,AT2021hbf,18:00:21.01,+64:28:18.3,1303.97,r,18.9193,-,23.012,12.447,10.565,-,-,-,-,29.7529259,0.142
ZTF21aapoiht,AT2021ggc,08:32:56.02,+54:15:01.5,1312.79,r,18.9986,-,>62.022,28.102,>33.92,-,-,-,-,36.36219697,0.094
ZTF21aapouwv,AT2021grd,08:37:42.46,-11:11:16.4,1296.79,g,18.3546,-,17.76,8.339,9.421,-,-,-,-,17.57838366,0.137
ZTF21aappdev,AT2021grb,09:43:24.02,-20:20:12.9,1296.81,g,18.6103,-,26.395,10.781,15.614,-,-,-,-,24.24016551,0.177
ZTF21aaprcuv,AT2021gcz,10:48:51.92,+17:37:29.1,1307.73,r,18.8904,-,>32.941,15.961,>16.98,-,-,-,-,60.20745778,0.091
ZTF21aapriwm,AT2021gqu,12:40:00.60,+01:09:25.3,1305.80,r,18.6156,-,25.049,13.299,11.75,-,-,-,-,63.88441892,0.044
ZTF21aaptocc,AT2021ftb,18:40:59.69,+40:57:45.0,1302.95,r,18.9596,-,29.186,22.291,6.895,-,-,-,-,19.24101467,0.165
ZTF21aaqgedd,AT2021gvy,11:30:18.26,+68:56:36.0,1301.80,r,18.9463,-,28.471,6.575,21.896,-,-,-,-,46.50825889,0.029
ZTF21aaqhuhd,AT2021hci,12:00:20.65,+19:23:15.3,1309.75,r,18.8309,-,24.022,10.783,13.239,-,-,-,-,75.95639362,0.099
ZTF21aaqjhff,AT2021gth,09:02:42.72,+11:26:22.0,1301.76,g,18.8588,-,24.94,5.675,19.265,-,-,-,-,34.27809982,0.07
ZTF21aaqjmnn,AT2021gyr,14:03:18.36,+44:54:15.5,1300.86,g,18.9258,-,16.755,6.388,10.367,-,-,-,-,67.14911553,0.024
ZTF21aaqkqwq,AT2021gtd,19:01:03.52,+68:26:32.3,1303.87,g,18.712,-,22.72,8.77,13.95,-,-,-,-,24.22790189,0.147
ZTF21aaqmgnp,AT2021hbb,15:06:03.77,+27:29:30.2,1300.87,g,18.9975,-,26.156,3.653,22.503,-,-,-,-,60.18603341,0.085
ZTF21aaqpyfm,AT2021hat,17:44:50.60,+61:29:39.2,1301.97,g,18.7974,-,21.792,5.789,16.003,-,-,-,-,31.49303169,0.176
ZTF21aaquppw,AT2021hiy,16:58:10.04,+32:00:42.4,1306.93,g,18.8156,-,29.42,7.5,21.92,-,-,-,-,36.84791625,0.076
ZTF21aaqvsvc,AT2021hey,08:25:28.73,+18:42:57.9,1308.75,g,18.9456,-,37.838,11.976,25.862,-,-,-,-,28.85343294,0.123
ZTF21aaqyckv,AT2021him,09:07:57.70,+16:01:24.4,1303.74,r,18.9605,-,22.77,6.793,15.977,-,-,-,-,37.28828733,0.113
ZTF21aaqyqux,AT2021hqc,10:51:10.12,+48:22:56.1,1309.68,g,18.9206,-,23.535,11.674,11.861,-,-,-,-,58.47856535,0.05
ZTF21aaqyqwk,AT2021hss,10:28:19.96,+39:48:21.6,1314.78,r,18.9771,-,>23.523,15.563,>7.96,-,-,-,-,57.84478719,0.034
ZTF21aaqzmdg,AT2021gwr,10:37:52.38,+03:44:08.5,1305.79,g,18.9757,-,24.718,11.089,13.629,-,-,-,-,50.46268414,0.117
ZTF21aaragyr,AT2021igh,18:36:48.24,+49:02:22.9,1311.99,r,18.6576,-,25.778,2.811,22.967,-,-,-,-,22.43112403,0.209
ZTF21aardsgh,AT2021hsj,08:22:45.05,+00:12:58.3,1313.71,r,18.8267,-,>22.696,6.706,>15.99,-,-,-,-,20.30435921,0.104
ZTF21aargjdw,AT2021iak,12:10:30.42,+01:35:19.0,1317.75,g,18.8394,-,33.553,20.116,13.437,-,-,-,-,62.63999666,0.07
ZTF21aarhikz,AT2021iaj,13:15:07.58,+52:25:56.1,1313.81,r,18.6568,-,15.901,7.863,8.038,-,-,-,-,64.31067738,0.054
ZTF21aaridax,AT2021hul,13:31:44.68,-03:23:04.6,1307.88,g,18.8849,-,23.067,8.146,14.921,-,-,-,-,57.97428817,0.1
ZTF21aarpcor,-,13:16:40.85,-00:30:07.6,1313.76,g,18.8988,-,35.955,17.979,17.976,-,-,-,-,61.71059003,0.065
ZTF21aartehc,AT2021hzd,10:43:00.91,-17:28:06.9,1315.73,r,18.8688,-,27.159,18.293,8.866,-,-,-,-,35.60784068,0.103
ZTF21aarycru,AT2021hyc,11:12:00.05,-21:49:53.1,1316.77,r,18.7242,-,28.819,8.2,20.619,-,-,-,-,35.45337351,0.107
ZTF21aasbqqw,AT2021inv,15:56:19.43,+80:37:50.1,1323.85,r,18.7076,-,22.192,10.874,11.318,-,-,-,-,33.3771862,0.098
ZTF21aascgal,AT2021hwi,15:58:19.02,-01:53:50.5,1328.78,r,18.9352,-,112.426,21.15,91.276,-,-,-,-,36.49234326,0.5
ZTF21aaszrim,AT2021ing,10:54:30.18,+16:48:02.0,1320.68,g,18.8783,-,26.394,8.129,18.265,-,-,-,-,61.07851311,0.085
ZTF21aatiolj,AT2021iqn,08:03:04.09,+44:06:03.8,1321.70,r,18.9803,-,>26.643,9.623,>17.02,-,-,-,-,30.92050281,0.106
ZTF21aatisro,AT2021iql,08:55:26.88,+55:56:00.9,1321.74,g,18.9419,-,20.246,7.689,12.557,-,-,-,-,39.38395209,0.092
ZTF21aatitlf,AT2021iuu,09:09:29.22,+34:31:37.1,1323.68,g,18.8802,-,24.805,10.093,14.712,-,-,-,-,42.36746613,0.06
ZTF21aatjypi,AT2021ipk,12:17:31.00,-14:10:55.3,1325.77,r,18.9026,-,26.573,12.954,13.619,-,-,-,-,47.87735438,0.161
ZTF21aaualej,AT2021jmh,13:39:55.91,+20:58:42.4,1329.82,g,18.9989,-,17.971,12.034,5.937,-,-,-,-,77.34622251,0.075
ZTF21aaucuyq,AT2021jkb,23:11:06.72,+36:21:11.1,1322.01,r,18.9229,-,>19.98,>11.99,>7.99,-,-,-,-,-22.26550609,0.277
ZTF21aavhmav,AT2021fsh,19:34:19.57,-15:32:11.3,1337.96,r,18.8324,-,>75.912,>20.02,55.892,-,-,-,-,-16.35941321,0.453
ZTF21aavrmzc,AT2021kyw,09:47:51.42,+14:19:02.9,1334.79,r,18.98,-,>24.218,8.298,>15.92,-,-,-,-,45.47382416,0.078
ZTF21aawmujq,AT2021kfb,14:15:12.85,+26:35:52.3,1358.82,r,18.5979,-,71.178,34.265,36.913,-,-,-,-,71.33009976,0.054
ZTF21aawqczk,AT2021ker,20:13:53.44,-11:53:39.6,1329.94,r,18.6199,-,28.097,5.342,22.755,-,-,-,-,-23.61439074,0.297
ZTF21aawtlok,AT2021lpq,18:25:57.98,+24:24:45.8,1336.96,r,18.8824,-,22.019,10.55,11.469,-,-,-,-,16.16162198,0.305
ZTF21aawzkdr,AT2021kji,15:22:48.52,+31:09:51.4,1340.83,r,18.6359,-,27.373,13.181,14.192,-,-,-,-,56.86293348,0.061
ZTF21aaxkneh,AT2021ksf,10:33:33.19,+54:26:36.3,1336.72,g,18.6362,-,24.895,6.724,18.171,-,-,-,-,52.90376897,0.026
ZTF21aaxskom,AT2021krz,09:12:12.05,+36:51:46.0,1342.72,g,18.8433,-,>21.874,7.854,>14.02,-,-,-,-,43.14948106,0.052
ZTF21aaxsoth,AT2021kru,11:36:46.02,-11:06:37.0,1338.71,r,18.6846,-,23.868,9.263,14.605,-,-,-,-,47.68852505,0.068
ZTF21aaxsxui,AT2021krj,11:26:06.52,+59:35:22.3,1343.75,g,18.946,-,31.179,12.463,18.716,-,-,-,-,54.37922687,0.044
ZTF21aaxtcdl,AT2021krg,12:19:29.43,+05:01:27.0,1338.81,g,18.6282,-,20.679,8.59,12.089,-,-,-,-,66.62122458,0.055
ZTF21aaxxjdr,AT2021ktu,11:16:02.18,+21:17:39.1,1338.69,g,18.9612,-,>34.213,11.223,>22.99,-,-,-,-,67.51928779,0.045
ZTF21aaxydav,AT2021kuj,12:16:57.52,+30:12:16.9,1350.76,r,18.6314,-,20.607,11.99,8.617,-,-,-,-,81.83814704,0.054
ZTF21aaxzbsl,AT2021ljd,17:42:30.56,+31:52:58.4,1341.93,r,18.9987,-,15.006,3.441,11.565,-,-,-,-,27.69211259,0.145
ZTF21aayebkx,AT2021lbi,14:56:57.90,+26:16:46.6,1345.82,r,18.852,-,24.668,8.224,16.444,-,-,-,-,62.025434,0.097
ZTF21aaygpzc,AT2021mal,23:58:33.49,+41:20:29.6,1341.98,r,18.7082,-,15.967,4.97,10.997,-,-,-,-,-20.44339067,0.282
ZTF21aaymysx,AT2021ler,08:54:04.12,+63:21:22.3,1346.81,r,18.9429,-,>15.796,6.906,>8.89,-,-,-,-,37.66716938,0.243
ZTF21aayrnqc,AT2021lyp,22:16:08.08,+21:26:10.6,1356.88,r,18.8911,-,47.842,36.785,11.057,-,-,-,-,-28.60309143,0.133
ZTF21aayrnzw,AT2021ldy,21:31:25.97,+01:21:32.8,1352.93,r,18.8589,-,>62.561,>20.94,41.621,-,-,-,-,-34.13052309,0.133
ZTF21aayrowv,AT2021ldx,20:07:42.41,-12:51:46.4,1345.92,g,18.9491,-,38.984,14.657,24.327,-,-,-,-,-22.64075711,0.362
ZTF21aazmswd,AT2021lwk,22:10:48.68,+18:49:06.7,1356.88,r,18.9469,-,>17.104,11.034,>6.07,-,-,-,-,-29.78554646,0.15
ZTF21aazrgtw,AT2021lnu,15:32:18.68,-00:00:00.7,1379.84,r,18.6806,-,62.011,33.987,28.024,-,-,-,-,42.81113732,0.216
ZTF21aazrpal,AT2021lnp,15:17:31.33,+54:41:12.8,1358.93,g,18.8389,-,24.186,13.278,10.908,-,-,-,-,51.76886517,0.033
ZTF21aazsmfw,AT2021lvn,17:31:15.99,+60:02:21.8,1370.86,r,18.9217,-,52.773,24.917,27.856,-,-,-,-,33.18751585,0.084
ZTF21aazxxtq,AT2021lrg,13:26:28.46,-00:17:29.2,1354.81,g,18.9125,-,23.158,11.247,11.911,-,-,-,-,61.31563342,0.064
ZTF21abapglp,AT2021mnx,18:46:42.98,+28:43:11.7,1359.88,r,18.7368,-,23.462,12.947,10.515,-,-,-,-,13.60301921,0.608
ZTF21abasghc,AT2021mhi,13:28:46.32,+36:27:01.3,1356.72,g,18.9337,-,21.353,7.356,13.997,-,-,-,-,77.77297414,0.045
ZTF21abavbci,AT2021mbq,15:53:38.97,-20:36:43.8,1366.85,r,18.9803,-,>47.635,17.645,>29.99,-,-,-,-,25.01121626,0.809
ZTF21abavdnj,AT2021mbp,16:07:03.60,+01:22:52.7,1368.81,r,18.7297,-,58.664,21.781,36.883,-,-,-,-,36.57072948,0.328
ZTF21abbcsyb,AT2021jve,21:01:44.45,-20:01:45.4,1402.91,r,18.1485,-,>77.917,>55.95,21.967,-,-,-,-,-37.3278372,0.148
ZTF21abborii,AT2021mvf,13:16:18.57,+42:13:54.8,1356.78,r,18.9682,-,>17.873,7.933,>9.94,-,-,-,-,74.06634678,0.04
ZTF21abbvzrd,AT2021mvd,14:11:45.43,+71:45:12.5,1381.88,r,18.1517,-,48.073,27.147,20.926,-,-,-,-,44.00969164,0.047
ZTF21abbxlbu,AT2021mqq,21:03:28.64,+04:56:26.3,1364.94,r,18.6243,-,23.785,12.866,10.919,-,-,-,-,-26.34506754,0.311
ZTF21abcmoel,AT2021nrj,12:25:43.16,+58:44:04.0,1368.69,g,18.9344,-,32.291,9.7,22.591,-,-,-,-,58.07770905,0.033
ZTF21abcoayv,AT2021nnt,01:20:22.48,+35:54:56.5,1366.98,r,18.9069,-,>20.047,>10,10.047,-,-,-,-,-26.58760802,0.165
ZTF21abcoulr,AT2021nts,12:40:07.98,+62:46:12.3,1373.77,g,18.735,-,27.898,10.472,17.426,-,-,-,-,54.30961669,0.036
ZTF21abcpbqd,AT2014gz,14:15:50.78,+01:52:57.4,1370.75,r,18.1477,-,31.603,11.792,19.811,-,-,-,-,57.65454681,0.13
ZTF21abcqqpo,-,15:41:28.95,+74:01:47.7,1708.82,r,18.5406,-,19.027,12.875,6.152,-,-,-,-,38.23515457,0.098
ZTF21abdawxy,AT2021ocf,12:42:43.11,+47:19:55.4,1372.69,r,18.9055,-,>17.014,5.954,>11.06,-,-,-,-,69.72403646,0.04
ZTF21abdboqy,AT2021oel,13:19:50.46,+24:01:18.1,1387.78,g,18.9661,-,26.641,18.796,7.845,-,-,-,-,82.88318213,0.032
ZTF21abddmct,AT2021oha,19:45:40.57,-21:17:10.0,1378.92,g,18.7646,-,>46.936,>17,29.936,-,-,-,-,-21.09779236,0.22
ZTF21abdjbqs,AT2021obb,00:43:34.79,+43:46:16.2,1393.87,g,18.687,-,67.945,24.893,43.052,-,-,-,-,-19.07751728,0.234
ZTF21abdjeed,AT2021pij,01:06:45.81,+43:11:36.0,1376.97,r,18.7233,-,27.103,7.425,19.678,-,-,-,-,-19.59004563,0.233
ZTF21abdsnos,AT2021onj,16:14:00.47,-02:45:40.5,1382.83,r,18.8561,-,23.692,12.078,11.614,-,-,-,-,32.80428931,0.479
ZTF21abdtmzw,AT2021onc,17:34:50.68,+03:00:15.2,1384.82,r,18.9928,-,27.815,14.689,13.126,-,-,-,-,18.38660681,0.43
ZTF21abdvbmm,AT2021pii,22:18:22.39,-15:26:23.8,1390.88,r,18.7426,-,>47.451,>21.95,25.501,-,-,-,-,-52.6498865,0.091
ZTF21abezbjj,AT2021pol,21:02:59.76,+80:32:31.8,1383.72,r,18.554,-,25.055,7.795,17.26,-,-,-,-,21.73869439,0.343
ZTF21abezmjp,AT2021oog,23:17:43.47,+42:34:16.8,1381.91,r,18.9729,-,>63.104,>8,55.104,-,-,-,-,-17.03194466,0.424
ZTF21abezxyw,AT2021qxw,22:41:38.83,+03:09:25.3,1404.94,r,18.5571,-,30.62,19.621,10.999,-,-,-,-,-46.45144764,0.22
ZTF21abfafke,AT2021pgn,02:14:16.30,+40:53:19.8,1382.98,r,18.756,-,26.514,8.562,17.952,-,-,-,-,-19.32082178,0.139
ZTF21abfepul,AT2021pgc,19:54:00.76,-25:26:07.4,1382.94,r,18.9465,-,27.579,10.237,17.342,-,-,-,-,-24.36624885,0.305
ZTF21abfpzpk,AT2021pmv,21:17:16.10,+19:16:28.2,1385.87,r,18.9925,-,23.41,9.389,14.021,-,-,-,-,-20.40737663,0.24
ZTF21abfxpza,AT2021pre,21:46:50.80,-20:05:20.6,1390.87,r,18.7629,-,31.279,11.595,19.684,-,-,-,-,-47.36569408,0.088
ZTF21abgedad,AT2021qzo,23:53:58.21,+36:13:30.1,1391.95,g,18.6688,-,>20.071,>9.01,11.061,-,-,-,-,-25.21606791,0.284
ZTF21abgjloo,AT2021qbk,23:02:07.92,+20:34:08.8,1396.90,r,18.8683,-,34.837,16.995,17.842,-,-,-,-,-35.45470824,0.353
ZTF21abgjywt,AT2021qbg,22:02:16.79,+00:11:57.2,1397.90,r,18.9502,-,35.965,17.964,18.001,-,-,-,-,-41.05485782,0.156
ZTF21abgxzfi,AT2021qiv,19:16:41.53,-23:53:31.8,1392.88,r,18.478,-,>27.713,9.713,>18,-,-,-,-,-15.91225201,0.346
ZTF21abhhari,AT2021qtk,22:39:31.85,+32:38:40.1,1395.92,g,18.6584,-,23.987,6.967,17.02,-,-,-,-,-22.5006958,0.223
ZTF21abhqoja,AT2021quz,15:43:54.01,+26:14:50.4,1391.78,r,18.7497,-,33.381,8.893,24.488,-,-,-,-,51.66000625,0.126
ZTF21abhrchb,AT2021qth,20:11:38.92,-21:09:36.7,1404.92,r,18.7332,-,57.364,19.53,37.834,-,-,-,-,-26.69143084,0.29
ZTF21abhrfjt,AT2021qxf,23:32:53.07,+03:03:39.7,1390.88,r,18.8231,-,23.645,6.373,17.272,-,-,-,-,-54.35797916,0.192
ZTF21abhszad,AT2021qwz,17:29:54.57,+09:15:07.5,1390.75,g,18.6393,-,14.85,4.759,10.091,-,-,-,-,22.28698021,0.319
ZTF21abhuejc,AT2021qzb,22:57:05.14,+13:20:35.1,1396.93,g,18.9066,-,21.183,7.179,14.004,-,-,-,-,-40.93131104,0.151
ZTF21abhvfrj,AT2021qvd,13:27:24.24,+52:38:34.0,1395.74,g,18.7838,-,25.162,8.171,16.991,-,-,-,-,63.61666982,0.028
ZTF21abhyqxt,AT2021rad,16:27:49.83,+09:35:12.5,1406.77,r,18.9041,-,68.707,19.997,48.71,-,-,-,-,36.19537587,0.183
ZTF21abhzsho,AT2021qzz,17:20:32.40,+42:50:58.7,1412.87,r,18.8683,-,52.502,23.661,28.841,-,-,-,-,34.20542641,0.065
ZTF21abiawdx,AT2021qzl,14:33:32.34,+21:38:33.7,1406.74,r,18.9031,-,31.286,13.538,17.748,-,-,-,-,66.15990449,0.151
ZTF21abiawge,AT2021qzx,14:36:33.37,+18:05:58.4,1419.72,g,18.9175,-,>60.255,26.295,>33.96,-,-,-,-,64.18122013,0.075
ZTF21abiaxnv,AT2021qzv,15:17:25.78,+27:12:05.4,1400.71,r,18.952,-,29.543,13.369,16.174,-,-,-,-,57.64594294,0.103
ZTF21abiccis,AT2021pjg,21:36:12.48,-23:45:13.3,1406.99,r,18.6117,-,>47.925,>15.07,32.855,-,-,-,-,-46.06738974,0.13
ZTF21abidqoe,AT2021rbo,19:03:37.82,+54:59:32.6,1406.87,g,18.893,-,21.668,13.72,7.948,-,-,-,-,20.26349835,0.177
ZTF21abidxcy,AT2021rmu,19:32:32.86,+37:01:11.6,1402.89,r,18.724,-,30.516,9.64,20.876,-,-,-,-,8.49754587,0.446
ZTF21abieobg,AT2021rhh,18:09:00.22,+23:54:31.2,1408.75,r,18.6947,-,27.147,14.778,12.369,-,-,-,-,19.54753577,0.349
ZTF21abippod,AT2021rjb,21:54:10.32,-02:52:43.4,1399.88,r,18.7913,-,18.213,4.697,13.516,-,-,-,-,-41.21413266,0.179
ZTF21abipsrc,AT2021rja,23:49:30.68,+29:26:24.3,1403.93,r,18.9117,-,28.13,9.139,18.991,-,-,-,-,-31.52145339,0.179
ZTF21abiuzyl,AT2021rid,19:44:47.91,-07:32:13.1,1401.84,r,18.8289,-,30.066,4.927,25.139,-,-,-,-,-15.27084343,0.725
ZTF21abjaeco,AT2021sew,21:12:37.91,+38:03:27.6,1444.79,r,18.9035,-,67.992,41.001,26.991,-,-,-,-,-7.11343303,0.946
ZTF21abjryck,AT2021sur,00:48:31.89,+19:12:46.7,1410.93,r,18.9316,-,23.747,9,14.747,-,-,-,-,-43.65334155,0.116
ZTF21abjvfgu,AT2021sug,17:30:49.09,+66:26:48.7,1415.78,g,18.7623,-,25.401,10.401,15,-,-,-,-,32.72023406,0.109
ZTF21abjvfoi,AT2021slm,18:11:05.72,+72:55:47.8,1415.71,r,18.6742,-,26.105,11.041,15.064,-,-,-,-,28.79310922,0.156
ZTF21abjxgoy,AT2021slf,15:00:56.42,+24:30:28.4,1415.77,g,18.8335,-,20.3,10.34,9.96,-,-,-,-,60.81804064,0.109
ZTF21abjxibx,AT2021spx,16:29:38.59,+26:34:08.9,1415.69,r,18.929,-,23.007,10.947,12.06,-,-,-,-,41.72926651,0.157
ZTF21abkkmps,AT2021swz,18:05:28.69,+45:22:27.0,1419.80,r,18.6491,-,24.709,15.937,8.772,-,-,-,-,26.68380977,0.104
ZTF21abkmnrx,AT2021swv,15:36:02.28,+21:27:04.1,1419.71,g,18.9563,-,24.516,10.54,13.976,-,-,-,-,52.23101554,0.14
ZTF21abkohpk,AT2021sws,18:32:04.58,+22:11:24.3,1423.80,r,18.788,-,26.582,15.636,10.946,-,-,-,-,13.99003621,0.38
ZTF21abkoqic,AT2021swr,17:54:45.79,+49:56:52.8,1414.89,g,18.8617,-,22.955,8.036,14.919,-,-,-,-,29.28949422,0.134
ZTF21abkwzle,AT2021tcd,21:24:51.97,-02:08:55.2,1415.94,g,18.9579,-,24.134,9.894,14.24,-,-,-,-,-34.68035079,0.139
ZTF21ablvxic,AT2021tpv,22:10:43.98,-20:47:25.7,1414.94,r,18.347,-,17.766,7.823,9.943,-,-,-,-,-52.89968991,0.102
ZTF21abmldwg,AT2021tmx,00:25:53.66,+39:51:20.7,1426.96,r,18.929,-,24.8,11.051,13.749,-,-,-,-,-22.75222215,0.195
ZTF21abmnglz,AT2021tns,14:28:51.19,+21:01:30.6,1419.72,g,18.6835,-,21.219,9.385,11.834,-,-,-,-,66.98616103,0.095
ZTF21abmxkxt,AT2021tsq,01:39:15.02,-06:31:45.8,1429.94,g,18.8629,-,>46.866,>15,31.866,-,-,-,-,-66.47620687,0.091
ZTF21abnhnxu,AT2021uvr,23:27:01.28,-11:01:16.8,1424.89,r,18.9852,-,24.324,7.281,17.043,-,-,-,-,-64.44237282,0.084
ZTF21abnuiwm,AT2021txt,23:35:56.96,+16:46:51.6,1428.88,r,18.7886,-,19.614,11.418,8.196,-,-,-,-,-42.42553137,0.159
ZTF21abnujlh,AT2021uuv,00:19:19.82,+32:40:48.6,1446.91,r,18.8271,-,53.959,29.005,24.954,-,-,-,-,-29.70613887,0.161
ZTF21abnvljt,AT2021tzo,15:02:40.06,+09:18:19.1,1423.71,g,18.8531,-,23.241,10.254,12.987,-,-,-,-,54.2838426,0.086
ZTF21abouppp,AT2021ueh,21:04:18.73,+21:24:16.6,1440.80,r,18.8947,-,35.007,21.24,13.767,-,-,-,-,-16.70971794,0.458
ZTF21abouzom,AT2021uui,01:35:34.63,-06:14:02.3,1427.94,r,18.8477,-,23.985,8.979,15.006,-,-,-,-,-66.61843051,0.098
ZTF21abovdta,AT2021uhg,02:11:56.93,+47:01:59.1,1430.89,r,18.8854,-,33.063,13.073,19.99,-,-,-,-,-13.64356956,0.401
ZTF21abowqqz,AT2021ufz,16:26:08.05,+10:43:04.6,1434.74,g,18.893,-,26.615,10.407,16.208,-,-,-,-,37.07171244,0.188
ZTF21abowuju,AT2021ufr,17:51:33.35,+65:14:54.1,1430.74,r,18.8162,-,21.244,13.271,7.973,-,-,-,-,30.68733429,0.119
ZTF21abqjjrb,SN2021uqu,23:49:10.57,-11:15:18.6,1444.93,g,18.9314,-,40.254,23.854,16.4,-,-,-20.04,0.47,-68.41246907,0.087
ZTF21abqoodm,AT2021uqc,23:32:09.22,+50:12:39.7,1443.80,r,18.8632,-,41.527,12.9,28.627,-,-,-,-,-10.68634211,0.54
ZTF21abqoyeq,AT2021upv,00:25:27.12,+02:25:11.9,1438.91,g,18.867,-,27.154,11.196,15.958,-,-,-,-,-59.79496649,0.081
ZTF21abqtckk,AT2021utq,15:18:29.09,+73:21:31.4,1451.72,g,18.6079,-,>46.199,9.259,>36.94,-,-,-,-,39.87197362,0.066
ZTF21abrgelj,AT2021vfr,16:52:53.18,+29:27:29.2,1439.73,r,18.8134,-,13.574,4.996,8.578,-,-,-,-,37.40624753,0.115
ZTF21abrgxgq,AT2021vif,15:15:52.29,+32:35:22.5,1447.70,r,18.7114,-,29.598,9.8,19.798,-,-,-,-,58.36603482,0.049
ZTF21abrhhek,AT2021vqd,18:49:20.28,+45:19:21.3,1448.75,r,18.7861,-,22.79,12.782,10.008,-,-,-,-,19.267291,0.199
ZTF21abrthxx,AT2021vkq,19:08:32.74,+34:34:00.6,1438.75,r,18.6915,-,24.551,4.536,20.015,-,-,-,-,11.77428316,0.243
ZTF21abrzxdx,AT2021wbr,02:02:58.20,+19:28:02.2,1460.90,g,18.6085,-,51.09,17.353,33.737,-,-,-,-,-40.28588428,0.255
ZTF21absnbqh,AT2021xrx,21:40:06.89,-14:46:15.6,1455.77,r,18.9323,-,>18.985,1.965,>17.02,-,-,-,-,-43.94595358,0.17
ZTF21abtcavt,AT2021vxg,01:21:49.53,+07:17:59.9,1454.94,r,18.9135,-,22.289,12.308,9.981,-,-,-,-,-54.79410142,0.152
ZTF21abtmsie,AT2021wfm,22:39:09.90,+41:46:51.1,1448.77,r,18.9833,-,18.886,7.892,10.994,-,-,-,-,-14.61641587,0.635
ZTF21abtpqkv,AT2021wae,14:37:42.02,+57:26:58.1,1452.72,r,18.876,-,33.839,12.889,20.95,-,-,-,-,54.35609074,0.027
ZTF21abtxxfe,AT2021wdv,05:23:33.63,+63:03:53.4,1442.95,r,18.6139,-,25.864,8.826,17.038,-,-,-,-,14.81498466,0.654
ZTF21abwefsl,AT2021xgc,07:32:37.36,+73:14:51.8,1470.94,r,18.9744,-,>27.591,>13.99,13.601,-,-,-,-,28.84777087,0.076
ZTF21abwqdzi,AT2021yei,16:21:37.72,+77:52:24.8,1476.70,r,18.8743,-,43.563,15.953,27.61,-,-,-,-,34.0213812,0.122
ZTF21abxginb,AT2021xtj,08:09:54.99,+19:45:55.9,1472.00,r,17.9995,-,26.904,10.987,15.917,-,-,-,-,25.81276762,0.098
ZTF21abxnuwt,-,07:08:14.77,+86:39:28.7,1471.97,r,18.2901,-,20.393,6.764,13.629,-,-,-,-,27.32344653,0.414
ZTF21abyigsg,AT2021ymp,08:49:04.77,+51:05:52.6,1478.96,g,18.5575,-,67.343,14.08,53.263,-,-,-,-,38.99957704,0.071
ZTF21abzdkcm,AT2021ywd,07:44:41.28,+44:08:42.4,1483.99,r,18.7476,-,41.406,20.643,20.763,-,-,-,-,27.68676267,0.122
ZTF21abzlozj,-,09:22:10.12,+49:06:48.2,1479.99,g,18.5603,-,30.066,12.15,17.916,-,-,-,-,44.4941183,0.058
ZTF21acaohho,AT2021ynv,02:56:47.25,+00:43:55.4,1471.90,g,18.8761,-,19.314,4.591,14.723,-,-,-,-,-48.96143241,0.209
ZTF21acbhfqb,AT2021yst,21:37:34.57,+15:52:26.4,1485.71,r,18.7754,-,38.459,14.373,24.086,-,-,-,-,-26.28895388,0.277
ZTF21acckqaq,AT2021zbj,09:49:30.39,+36:29:54.6,1484.01,r,18.7593,-,>23.96,>11,>12.96,-,-,-,-,50.60873786,0.037
ZTF21acclnnu,AT2021zbn,18:12:41.47,+29:24:08.9,1487.65,r,18.8978,-,>30.265,13.285,>16.98,-,-,-,-,20.7520412,0.219
ZTF21accpyju,AT2022raf,02:47:19.87,-19:43:02.6,1904.76,r,18.7982,-,>141.649,77.759,>63.89,-,-,-,-,-62.47276435,0.111
ZTF21accwevc,AT2021zgv,03:13:19.17,+18:17:42.7,1488.87,g,18.6705,-,25.893,10.843,15.05,-,-,-,-,-33.02747244,0.217
ZTF21acdenra,AT2021zes,18:02:38.80,+22:48:44.6,1485.69,r,18.9752,-,>16.295,10.325,>5.97,-,-,-,-,20.49508738,0.32
ZTF21acdeqjg,AT2021zey,16:06:40.92,+60:20:18.0,1486.64,g,18.8615,-,35.359,11.133,24.226,-,-,-,-,43.33644607,0.04
