
ZTFID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,hostabs,hostcol,b,A_V
ZTF19aaahuvq,AT2019ku,03:30:11.22,+43:00:05.3,503.64,r,18.047,-,23.873,12.865,11.008,-,-,-,-,-10.94628346,0.643
ZTF19aaaibty,AT2019iw,04:16:09.68,-07:45:20.4,503.71,g,18.086,-,23.49,12.336,11.154,-,-,-,-,-37.90347136,0.211
ZTF19aaaicak,AT2018liu,04:04:47.22,-04:14:39.7,490.67,r,18.9584,-,29.406,7.49,21.916,-,-,-,-,-38.58969421,0.308
ZTF19aaaiztl,AT2024byc,05:38:03.38,+03:38:40.4,490.69,r,18.5162,-,>17.513,12.463,>5.05,-,-,-,-,-14.51101224,0.931
ZTF19aaaokub,AT2019ja,07:46:42.61,+06:16:13.1,505.73,g,18.3347,-,>35.681,14.691,>20.99,-,-,-,-,15.13511964,0.09
ZTF19aaapfde,AT2019kb,14:50:33.37,+67:50:01.2,503.04,r,18.8982,-,>22.669,13.659,>9.01,-,-,-,-,45.53931253,0.054
ZTF19aaapjrf,AT2019cv,15:06:14.20,+32:40:54.1,492.01,g,18.0557,-,20.12,6.703,13.417,-,-,-,-,60.39224683,0.053
ZTF19aaapkgk,AT2019kd,15:09:11.75,+54:11:49.3,506.05,r,17.7284,-,38.492,20.79,17.702,-,-,-,-,53.054407,0.037
ZTF19aaaplhu,AT2019qz,15:20:47.94,+09:19:20.7,502.97,g,18.3331,-,24.575,13.182,11.393,-,-,-,-,50.54307812,0.118
ZTF19aabhdko,AT2019na,03:07:57.60,+17:46:47.8,510.72,r,18.6161,-,27.245,17.054,10.191,-,-,-,-,-34.21284122,0.406
ZTF19aabhmcx,AT2019aaff,03:34:08.81,+38:55:49.6,503.64,r,18.8072,-,21.006,9.991,11.015,-,-,-,-,-13.7996226,0.65
ZTF19aabyhwy,AT2019ks,11:18:58.39,+27:53:57.8,506.03,r,18.2884,-,17.919,12.036,5.883,-,-,-,-,69.51404965,0.053
ZTF19aabymik,AT2019lf,09:30:39.89,+25:48:58.0,503.01,r,18.9471,-,21.426,10.877,10.549,-,-,-,-,45.35547179,0.086
ZTF19aabynxp,AT2019jr,10:44:28.83,+60:34:30.4,506.03,r,18.6538,-,26.451,15.376,11.075,-,-,-,-,50.26512437,0.029
ZTF19aabypir,AT2019pa,11:40:12.26,+18:43:43.0,505.96,g,17.9492,-,20.793,9.176,11.617,-,-,-,-,71.60206085,0.061
ZTF19aabyqsw,AT2019js,11:28:07.94,+16:49:10.2,502.96,g,18.5431,-,26.533,11.288,15.245,-,-,-,-,68.15517436,0.081
ZTF19aabyvbf,AT2019qm,13:05:12.16,+38:46:12.1,505.95,g,18.5013,-,19.966,11.622,8.344,-,-,-,-,78.00828665,0.045
ZTF19aabyvgk,AT2019rb,13:06:14.64,+57:23:11.8,505.99,g,18.4097,-,23.08,10.949,12.131,-,-,-,-,59.6281768,0.042
ZTF19aabyyhr,AT2019kw,12:30:18.68,+11:45:19.0,505.96,g,18.5093,-,26.064,12.907,13.157,-,-,-,-,73.84672244,0.089
ZTF19aachpob,AT2019mb,15:03:59.35,+06:00:27.1,502.98,g,18.5439,-,34.438,23.698,10.74,-,-,-,-,52.07995408,0.135
ZTF19aachzlb,AT2019yh,09:47:59.53,+50:30:56.2,506.01,r,18.0447,-,18.705,8.632,10.073,-,-,-,-,48.24757942,0.041
ZTF19aacokgn,AT2019anv,02:02:52.22,+24:20:26.0,503.62,r,18.6564,-,>24.028,3.988,>20.04,-,-,-,-,-35.72322599,0.247
ZTF19aacwzuy,AT2019vm,09:50:24.68,+24:57:42.5,508.01,g,18.6004,-,19.648,9.248,10.4,-,-,-,-,49.49967572,0.07
ZTF19aacxwfb,AT2019up,10:07:36.82,+58:12:50.5,502.94,g,18.6738,-,19.355,5.214,14.141,-,-,-,-,47.87134058,0.019
ZTF19aadfqfw,AT2019vq,12:17:03.21,+15:46:04.6,505.95,g,18.9531,-,23.368,6.629,16.739,-,-,-,-,76.11665511,0.069
ZTF19aadgdyk,AT2019tm,11:23:40.73,+37:33:30.3,509.05,g,18.4606,-,21.627,7.922,13.705,-,-,-,-,68.80903378,0.054
